FLaSHLogNumber,Project,Date,Station,Species,SerialNumber,PreyType,PreyLengthSpecies,PreyLength,Estimate,PreyWeight
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Hyperacanthomysis longirostris,,1.5,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Hyperacanthomysis longirostris,,1.8,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Hyperacanthomysis longirostris,,1.5,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Hyperacanthomysis longirostris,,1.3,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Hyperacanthomysis longirostris,,1,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Hyperacanthomysis longirostris,,1.8,ED,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Hyperacanthomysis longirostris,,1.8,ED,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,1,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,1.3,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,0.9,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,0.9,G,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,1,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,0.9,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,0.9,G,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,0.9,G,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,1,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,1,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,1,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,0.9,G,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,0.9,G,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,0.8,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,1,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,0.8,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,0.8,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,1,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,0.6,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,0.6,,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Corophium,,1.1,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Hyperacanthomysis longirostris,,1.5,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Hyperacanthomysis longirostris,,1.6,G,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Hyperacanthomysis longirostris,,1.65,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Unid Amphipod,Unid amphipod,1.05,G,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Unid Amphipod,Unid amphipod,1.05,G,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Unid Amphipod,Unid amphipod,1.05,G,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.15,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.15,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,0.9,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.2,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.2,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.05,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.05,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.05,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.05,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,0.95,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,0.95,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,0.95,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,0.95,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,0.8,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,0.85,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.1,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.1,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.1,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.1,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.25,,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.05,G,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.05,G,
33,FMWT,9/8/2011 0:00,502,delta smelt,1118,Corophium,,1.05,G,
34,FMWT,9/8/2011 0:00,413,delta smelt,1108,Hyperacanthomysis longirostris,,1.8,ED,
34,FMWT,9/8/2011 0:00,413,delta smelt,1108,Hyperacanthomysis longirostris,,1.8,ED,
34,FMWT,9/8/2011 0:00,413,delta smelt,1108,Hyperacanthomysis longirostris,,1.8,ED,
34,FMWT,9/8/2011 0:00,413,delta smelt,1108,Hyperacanthomysis longirostris,,1.8,ED,
34,FMWT,9/8/2011 0:00,413,delta smelt,1108,Corophium,,1.1,,
34,FMWT,9/8/2011 0:00,413,delta smelt,1108,Corophium,,1.1,,
34,FMWT,9/8/2011 0:00,413,delta smelt,1108,Corophium,,1.6,,
34,FMWT,9/8/2011 0:00,413,delta smelt,1108,Corophium,,2.2,,
34,FMWT,9/8/2011 0:00,413,delta smelt,1108,Corophium,,2.9,ED,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Hyperacanthomysis longirostris,,1.5,,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Hyperacanthomysis longirostris,,1.8,ED,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Hyperacanthomysis longirostris,,1.8,ED,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Hyperacanthomysis longirostris,,1.8,ED,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Hyperacanthomysis longirostris,,1.8,ED,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Hyperacanthomysis longirostris,,1.8,ED,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Hyperacanthomysis longirostris,,1.8,ED,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Corophium,,1.2,,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Corophium,,1.1,,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Corophium,,1.2,,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Corophium,,1.1,,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Corophium,,1.1,,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Corophium,,1.3,,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Corophium,,1.2,G,
35,FMWT,9/8/2011 0:00,413,delta smelt,1110,Corophium,,1.2,G,
32,FMWT,9/8/2011 0:00,502,delta smelt,1117,Unid Mysids,,1.5,G,
39,FMWT,9/8/2011 0:00,504,delta smelt,1123,Hyperacanthomysis longirostris,,1.84,M,
39,FMWT,9/8/2011 0:00,504,delta smelt,1123,Corophium,,1.16,M,
39,FMWT,9/8/2011 0:00,504,delta smelt,1123,Corophium,,1.16,M,
39,FMWT,9/8/2011 0:00,504,delta smelt,1123,Corophium,,1.16,M,
39,FMWT,9/8/2011 0:00,504,delta smelt,1123,Corophium,,1.16,M,
39,FMWT,9/8/2011 0:00,504,delta smelt,1123,Corophium,,1.16,M,
39,FMWT,9/8/2011 0:00,504,delta smelt,1123,Corophium,,1.16,M,
39,FMWT,9/8/2011 0:00,504,delta smelt,1123,Corophium,,1.16,M,
39,FMWT,9/8/2011 0:00,504,delta smelt,1123,Corophium,,1.16,M,
39,FMWT,9/8/2011 0:00,504,delta smelt,1123,Corophium,,1.16,M,
39,FMWT,9/8/2011 0:00,504,delta smelt,1123,Corophium,,1.16,M,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,0.8,,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,0.9,,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,1,,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,1,,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,1.1,,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,1.1,,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,1.1,,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,1.1,,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,1,G,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,1,G,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,1,G,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,1,G,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,1,G,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,1,G,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Corophium,,1,G,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Unid Mysids,,1.8,G,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Unid Mysids,,1.8,G,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Hyperacanthomysis longirostris,,1.8,ED,
61,FMWT,9/8/2011 0:00,504,delta smelt,1122,Palaemon,,2,,
62,FMWT,9/8/2011 0:00,504,delta smelt,1121,Unid Mysids,,1.8,M,
62,FMWT,9/8/2011 0:00,504,delta smelt,1121,Corophium,,1.1,,
62,FMWT,9/8/2011 0:00,504,delta smelt,1121,Corophium,,1.1,,
62,FMWT,9/8/2011 0:00,504,delta smelt,1121,Corophium,,1.1,,
62,FMWT,9/8/2011 0:00,504,delta smelt,1121,Corophium,,1.1,,
62,FMWT,9/8/2011 0:00,504,delta smelt,1121,Corophium,,1.1,,
62,FMWT,9/8/2011 0:00,504,delta smelt,1121,Corophium,,1,,
62,FMWT,9/8/2011 0:00,504,delta smelt,1121,Corophium,,1,,
62,FMWT,9/8/2011 0:00,504,delta smelt,1121,Corophium,,1.1,G,
62,FMWT,9/8/2011 0:00,504,delta smelt,1121,Corophium,,1.1,G,
62,FMWT,9/8/2011 0:00,504,delta smelt,1121,Corophium,,1.1,G,
62,FMWT,9/8/2011 0:00,504,delta smelt,1121,Corophium,,1.1,G,
62,FMWT,9/8/2011 0:00,504,delta smelt,1121,Corophium,,1.1,G,
80,FMWT,9/8/2011 0:00,411,delta smelt,1100,Hyperacanthomysis longirostris,,1.8,M,
80,FMWT,9/8/2011 0:00,411,delta smelt,1100,Hyperacanthomysis longirostris,,1.8,M,
81,FMWT,9/8/2011 0:00,411,delta smelt,1101,Corophium,,1,,
81,FMWT,9/8/2011 0:00,411,delta smelt,1101,Corophium,,1.2,,
82,FMWT,9/8/2011 0:00,501,delta smelt,1113,Corophium,,1,,
82,FMWT,9/8/2011 0:00,501,delta smelt,1113,Corophium,,1.2,,
82,FMWT,9/8/2011 0:00,501,delta smelt,1113,Corophium,,1.3,,
82,FMWT,9/8/2011 0:00,501,delta smelt,1113,Corophium,,1.16,G,
82,FMWT,9/8/2011 0:00,501,delta smelt,1113,Corophium,,1.16,G,
82,FMWT,9/8/2011 0:00,501,delta smelt,1113,Corophium,,1.16,G,
82,FMWT,9/8/2011 0:00,501,delta smelt,1113,Corophium,,1.16,G,
82,FMWT,9/8/2011 0:00,501,delta smelt,1113,Corophium,,1.16,G,
82,FMWT,9/8/2011 0:00,501,delta smelt,1113,Corophium,,1.16,G,
83,STN,8/25/2011 0:00,602,delta smelt,1083,Corophium,,1.6,,
84,STN,8/25/2011 0:00,418,delta smelt,1084,Unid Mysids,,2.3,G,
84,STN,8/25/2011 0:00,418,delta smelt,1084,Hyperacanthomysis longirostris,,2.3,,
87,FMWT,9/13/2011 0:00,507,delta smelt,1298,Corophium,juvenile Corophium,1,,
87,FMWT,9/13/2011 0:00,507,delta smelt,1298,Corophium,juvenile Corophium,1,,
87,FMWT,9/13/2011 0:00,507,delta smelt,1298,Corophium,juvenile Corophium,1,,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,2,,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.3,,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,G,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.3,,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.5,,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.5,,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,2,,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.8,,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.7,,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.2,,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.7,,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,G,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,G,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,G,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,G,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,G,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,G,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,G,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,G,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,G,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,G,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,G,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,G,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Hyperacanthomysis longirostris,,1.6,G,
88,FMWT,9/13/2011 0:00,519,delta smelt,1259,Corophium,,0.9,,
90,FMWT,9/13/2011 0:00,515,delta smelt,1221,Unid Amphipod,Unid amphipod,1.1,Y,
91,FMWT,9/13/2011 0:00,507,delta smelt,1296,Corophium,,1.75,,
91,FMWT,9/13/2011 0:00,507,delta smelt,1296,Corophium,,1.25,,
91,FMWT,9/13/2011 0:00,507,delta smelt,1296,Corophium,,0.75,,
91,FMWT,9/13/2011 0:00,507,delta smelt,1296,Unid Amphipod,Unid amphipod,1.25,G,
92,FMWT,9/13/2011 0:00,519,delta smelt,1266,Unid Mysids,,3.3,ED,
92,FMWT,9/13/2011 0:00,519,delta smelt,1266,Unid Mysids,,3.3,ED,
92,FMWT,9/13/2011 0:00,519,delta smelt,1266,Hyperacanthomysis longirostris,,3.3,ED,
92,FMWT,9/13/2011 0:00,519,delta smelt,1266,Hyperacanthomysis longirostris,,3.3,ED,
92,FMWT,9/13/2011 0:00,519,delta smelt,1266,Hyperacanthomysis longirostris,,3.3,ED,
92,FMWT,9/13/2011 0:00,519,delta smelt,1266,Corophium,,1.3,,
92,FMWT,9/13/2011 0:00,519,delta smelt,1266,Corophium,,1.3,,
95,FMWT,9/13/2011 0:00,519,delta smelt,1260,Hyperacanthomysis longirostris,,1,,
95,FMWT,9/13/2011 0:00,519,delta smelt,1260,Hyperacanthomysis longirostris,,1,G,
95,FMWT,9/13/2011 0:00,519,delta smelt,1260,Corophium,,1,,
98,FMWT,9/13/2011 0:00,519,delta smelt,1264,Hyperacanthomysis longirostris,,1.3,,
98,FMWT,9/13/2011 0:00,519,delta smelt,1264,Hyperacanthomysis longirostris,,1.6,,
98,FMWT,9/13/2011 0:00,519,delta smelt,1264,Hyperacanthomysis longirostris,,1.8,ED,
98,FMWT,9/13/2011 0:00,519,delta smelt,1264,Hyperacanthomysis longirostris,,1.8,ED,
98,FMWT,9/13/2011 0:00,519,delta smelt,1264,Hyperacanthomysis longirostris,,1.8,ED,
98,FMWT,9/13/2011 0:00,519,delta smelt,1264,Hyperacanthomysis longirostris,,1.8,ED,
98,FMWT,9/13/2011 0:00,519,delta smelt,1264,Hyperacanthomysis longirostris,,2.6,ED,
98,FMWT,9/13/2011 0:00,519,delta smelt,1264,Hyperacanthomysis longirostris,,2.6,ED,
98,FMWT,9/13/2011 0:00,519,delta smelt,1264,Hyperacanthomysis longirostris,,2.6,ED,
98,FMWT,9/13/2011 0:00,519,delta smelt,1264,Corophium,,1,,
98,FMWT,9/13/2011 0:00,519,delta smelt,1264,Corophium,,1,,
98,FMWT,9/13/2011 0:00,519,delta smelt,1264,Corophium,,1,,
98,FMWT,9/13/2011 0:00,519,delta smelt,1264,Corophium,,1,,
99,FMWT,9/13/2011 0:00,518,delta smelt,1255,Hyperacanthomysis longirostris,,1.8,,
99,FMWT,9/13/2011 0:00,518,delta smelt,1255,Hyperacanthomysis longirostris,,1.8,G,
100,FMWT,9/13/2011 0:00,515,delta smelt,1222,Corophium,,1.1,,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Hyperacanthomysis longirostris,,1.5,,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Hyperacanthomysis longirostris,,1.5,,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Hyperacanthomysis longirostris,,2.2,,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Hyperacanthomysis longirostris,,2,,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Hyperacanthomysis longirostris,,1.8,G,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Hyperacanthomysis longirostris,,1.8,G,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Hyperacanthomysis longirostris,,1.8,G,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Hyperacanthomysis longirostris,,1.8,G,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Hyperacanthomysis longirostris,,1.8,G,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Corophium,,3.3,,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Corophium,,1.7,,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Corophium,,0.9,,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Corophium,,1,,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Corophium,,1.1,,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Corophium,,1.6,G,
102,FMWT,9/13/2011 0:00,507,delta smelt,1295,Corophium,,1.6,G,
104,FMWT,9/12/2011 0:00,802,delta smelt,1199,Corophium,,0.9,,
104,FMWT,9/12/2011 0:00,802,delta smelt,1199,Corophium,,1,,
104,FMWT,9/12/2011 0:00,802,delta smelt,1199,Corophium,,0.8,,
104,FMWT,9/12/2011 0:00,802,delta smelt,1199,Corophium,,0.9,,
104,FMWT,9/12/2011 0:00,802,delta smelt,1199,Corophium,,0.7,,
104,FMWT,9/12/2011 0:00,802,delta smelt,1199,Corophium,,0.6,,
104,FMWT,9/12/2011 0:00,802,delta smelt,1199,Corophium,,0.7,,
104,FMWT,9/12/2011 0:00,802,delta smelt,1199,Corophium,,0.8,G,
104,FMWT,9/12/2011 0:00,802,delta smelt,1199,Corophium,,0.8,G,
104,FMWT,9/12/2011 0:00,802,delta smelt,1199,Corophium,,0.8,G,
105,FMWT,9/13/2011 0:00,507,delta smelt,1297,Corophium,A. spinicorne,4,,
105,FMWT,9/13/2011 0:00,507,delta smelt,1297,Corophium,juvenile Corophium,1.9,,
105,FMWT,9/13/2011 0:00,507,delta smelt,1297,Corophium,juvenile Corophium,0.9,,
105,FMWT,9/13/2011 0:00,507,delta smelt,1297,Corophium,juvenile Corophium,1.1,,
105,FMWT,9/13/2011 0:00,507,delta smelt,1297,Corophium,juvenile Corophium,0.8,,
105,FMWT,9/13/2011 0:00,507,delta smelt,1297,Corophium,juvenile Corophium,0.9,,
105,FMWT,9/13/2011 0:00,507,delta smelt,1297,Corophium,juvenile Corophium,0.7,,
105,FMWT,9/13/2011 0:00,507,delta smelt,1297,Corophium,juvenile Corophium,0.9,,
105,FMWT,9/13/2011 0:00,507,delta smelt,1297,Corophium,juvenile Corophium,0.8,,
105,FMWT,9/13/2011 0:00,507,delta smelt,1297,Corophium,juvenile Corophium,0.8,,
107,FMWT,9/14/2011 0:00,715,delta smelt,1577,Corophium,,1.2,,
107,FMWT,9/14/2011 0:00,715,delta smelt,1577,Corophium,,1.4,,
107,FMWT,9/14/2011 0:00,715,delta smelt,1577,Corophium,,1.3,G,
107,FMWT,9/14/2011 0:00,715,delta smelt,1577,Corophium,,1.3,G,
107,FMWT,9/14/2011 0:00,715,delta smelt,1577,Corophium,,1.3,G,
107,FMWT,9/14/2011 0:00,715,delta smelt,1577,Corophium,,1.3,G,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Unid Mysids,,2.24,G,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Unid Mysids,,2.24,G,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Unid Mysids,,2.24,G,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Hyperacanthomysis longirostris,,3,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Hyperacanthomysis longirostris,,2.9,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Hyperacanthomysis longirostris,,1.5,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Hyperacanthomysis longirostris,,2,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Hyperacanthomysis longirostris,,2.5,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Hyperacanthomysis longirostris,,2,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Hyperacanthomysis longirostris,,1.8,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Hyperacanthomysis longirostris,,4.8,ED,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Hyperacanthomysis longirostris,,2.2,G,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Gammarus,G. daiberi,8,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.9,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.2,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.2,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.38,G,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.38,G,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.38,G,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.38,G,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.38,G,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.38,G,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.38,G,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.6,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.38,G,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,2.2,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.8,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.2,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.1,,
109,FMWT,9/13/2011 0:00,507,delta smelt,1299,Corophium,,1.1,,
