"DOPLogNumber","Project","Year","SurveyDate","Station","Species","GutContents"
64,"EDSM",2017,8/16/2017 0:00:00,"18-03-SM02","Delta Smelt","y"
65,"EDSM",2017,8/16/2017 0:00:00,"18-03-SM02","Delta Smelt","y"
66,"EDSM",2017,8/16/2017 0:00:00,"18-03-SM02","Delta Smelt","y"
67,"EDSM",2017,8/16/2017 0:00:00,"18-03-HB01","Delta Smelt","y"
68,"EDSM",2017,8/22/2017 0:00:00,"18-04-SBM05","Delta Smelt","y"
69,"EDSM",2017,8/22/2017 0:00:00,"18-04-SBM05","Delta Smelt","y"
70,"EDSM",2017,8/22/2017 0:00:00,"18-04-SBM05","Delta Smelt","y"
71,"EDSM",2017,8/22/2017 0:00:00,"18-04-SBM05","Delta Smelt","y"
72,"EDSM",2017,8/22/2017 0:00:00,"18-04-SBM05","Delta Smelt","y"
73,"EDSM",2017,8/22/2017 0:00:00,"18-04-SBM02","Delta Smelt","y"
74,"EDSM",2017,8/23/2017 0:00:00,"18-04-LSJ03","Delta Smelt","y"
75,"EDSM",2017,8/30/2017 0:00:00,"18-05-SBM02","Delta Smelt","y"
76,"EDSM",2017,9/7/2017 0:00:00,"18-06-SBM01","Delta Smelt","y"
77,"EDSM",2017,9/7/2017 0:00:00,"18-06-SBM02","Delta Smelt","y"
78,"EDSM",2017,9/11/2017 0:00:00,"18-07-SBM01","Delta Smelt","y"
79,"EDSM",2017,9/11/2017 0:00:00,"18-07-SBM02","Delta Smelt","y"
80,"EDSM",2017,9/12/2017 0:00:00,"18-07-HB01","Delta Smelt","y"
81,"EDSM",2017,9/12/2017 0:00:00,"18-07-SBM03","Delta Smelt","y"
82,"EDSM",2017,9/20/2017 0:00:00,"18-08-SM01","Delta Smelt","y"
83,"EDSM",2017,9/20/2017 0:00:00,"18-08-SBM01","Delta Smelt","y"
84,"EDSM",2017,9/27/2017 0:00:00,"18-09-SBM01","Delta Smelt","y"
85,"EDSM",2017,9/29/2017 0:00:00,"18-09-SBM02","Delta Smelt","y"
86,"EDSM",2017,10/10/2017 0:00:00,"18-11-SM01","Delta Smelt","y"
87,"EDSM",2017,10/17/2017 0:00:00,"18-12-SM01","Delta Smelt","y"
88,"EDSM",2017,10/23/2017 0:00:00,"18-13-LSR01","Delta Smelt","y"
89,"EDSM",2017,11/8/2017 0:00:00,"18-15-LSR02","Delta Smelt","y"
90,"EDSM",2017,11/20/2017 0:00:00,"18-17-LSR01","Delta Smelt","y"
91,"EDSM",2017,10/25/2017 0:00:00,"18-13-HB01","Delta Smelt","y"
92,"EDSM",2017,10/30/2017 0:00:00,"18-14-SM01","Delta Smelt","y"
93,"EDSM",2017,11/27/2017 0:00:00,"18-18-SM01","Delta Smelt","y"
94,"EDSM",2017,11/27/2017 0:00:00,"18-18-SM01","Delta Smelt","y"
95,"EDSM",2017,11/28/2017 0:00:00,"18-18-SBM02","Delta Smelt","y"
96,"EDSM",2017,11/28/2017 0:00:00,"18-18-HB01","Delta Smelt","y"
97,"EDSM",2018,7/5/2018 0:00:00,"18-49-LSSC03","Delta Smelt","y"
98,"EDSM",2018,7/5/2018 0:00:00,"18-49-LSSC03","Delta Smelt","y"
99,"EDSM",2018,7/5/2018 0:00:00,"18-49-LSSC03","Delta Smelt","y"
100,"EDSM",2018,7/5/2018 0:00:00,"18-49-LSSC03","Delta Smelt","y"
101,"EDSM",2018,7/9/2018 0:00:00,"18-50-LSSC01","Delta Smelt","y"
102,"EDSM",2018,7/18/2018 0:00:00,"18-51-LSSC01","Delta Smelt","y"
103,"EDSM",2018,7/19/2018 0:00:00,"18-51-LSSC04","Delta Smelt","y"
104,"EDSM",2018,7/23/2018 0:00:00,"18-52-LSSC02","Delta Smelt","y"
105,"EDSM",2018,7/23/2018 0:00:00,"18-52-LSSC05","Delta Smelt","y"
106,"EDSM",2018,7/24/2018 0:00:00,"18-52-LSSC03","Delta Smelt","y"
107,"EDSM",2018,7/24/2018 0:00:00,"18-52-LSSC03","Delta Smelt","y"
108,"EDSM",2018,7/24/2018 0:00:00,"18-52-LSSC03","Delta Smelt","y"
109,"EDSM",2018,7/24/2018 0:00:00,"18-52-LSSC03","Delta Smelt","y"
110,"EDSM",2018,8/1/2018 0:00:00,"19-01-LSSC01","Delta Smelt","y"
111,"EDSM",2018,8/1/2018 0:00:00,"19-01-LSSC01","Delta Smelt","y"
112,"EDSM",2018,8/1/2018 0:00:00,"19-01-USSC03","Delta Smelt","y"
113,"EDSM",2018,8/1/2018 0:00:00,"19-01-USSC03","Delta Smelt","y"
114,"EDSM",2018,8/8/2018 0:00:00,"19-02-LSSC02","Delta Smelt","y"
115,"EDSM",2018,8/8/2018 0:00:00,"19-02-LSSC02","Delta Smelt","y"
116,"EDSM",2018,8/14/2018 0:00:00,"19-03-LSSC01","Delta Smelt","y"
117,"EDSM",2018,8/14/2018 0:00:00,"19-03-LSSC01","Delta Smelt","y"
118,"EDSM",2018,8/14/2018 0:00:00,"19-03-LSSC01","Delta Smelt","y"
119,"EDSM",2018,8/14/2018 0:00:00,"19-03-LSSC01","Delta Smelt","y"
120,"EDSM",2018,8/14/2018 0:00:00,"19-03-LSSC01","Delta Smelt","y"
121,"EDSM",2018,8/20/2018 0:00:00,"19-04-LSSC03","Delta Smelt","y"
122,"EDSM",2018,8/20/2018 0:00:00,"19-04-LSSC05","Delta Smelt","y"
123,"EDSM",2018,8/20/2018 0:00:00,"19-04-LSSC05","Delta Smelt","y"
124,"EDSM",2018,8/27/2018 0:00:00,"19-05-LSSC05","Delta Smelt","y"
125,"EDSM",2018,8/27/2018 0:00:00,"19-05-LSSC05","Delta Smelt","y"
126,"EDSM",2018,8/27/2018 0:00:00,"19-05-LSSC05","Delta Smelt","y"
127,"EDSM",2018,8/27/2018 0:00:00,"19-05-LSSC05","Delta Smelt","y"
128,"EDSM",2018,8/27/2018 0:00:00,"19-05-LSSC05","Delta Smelt","y"
129,"EDSM",2018,8/27/2018 0:00:00,"19-05-LSSC05","Delta Smelt","y"
130,"EDSM",2018,8/27/2018 0:00:00,"19-05-LSSC05","Delta Smelt","y"
131,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
132,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
133,"EDSM",2018,7/9/2018 0:00:00,"18-50-LSSC01","Delta Smelt","y"
134,"EDSM",2018,7/17/2018 0:00:00,"18-51-HB01","Delta Smelt","y"
135,"EDSM",2018,7/17/2018 0:00:00,"18-51-CF02","Delta Smelt","y"
136,"EDSM",2018,8/20/2018 0:00:00,"19-04-SM01","Delta Smelt","y"
137,"EDSM",2018,8/20/2018 0:00:00,"19-04-SM01","Delta Smelt","y"
138,"EDSM",2018,8/21/2018 0:00:00,"19-04-GB01","Delta Smelt","y"
139,"EDSM",2018,9/6/2018 0:00:00,"19-06-SM04","Delta Smelt","y"
140,"EDSM",2018,9/7/2018 0:00:00,"19-06-GB01","Delta Smelt","y"
141,"EDSM",2018,8/14/2018 0:00:00,"19-03-SM05","Delta Smelt","y"
142,"EDSM",2018,8/13/2018 0:00:00,"19-03-SM03","Delta Smelt","y"
143,"EDSM",2018,7/2/2018 0:00:00,"18-49-CF01","Delta Smelt","y"
145,"EDSM",2018,8/13/2018 0:00:00,"19-03-LSR01","Delta Smelt","y"
146,"EDSM",2018,8/22/2018 0:00:00,"19-04-LSR01","Delta Smelt","y"
147,"EDSM",2018,8/22/2018 0:00:00,"19-04-LSR01","Delta Smelt","y"
148,"EDSM",2018,8/22/2018 0:00:00,"19-04-LSR01","Delta Smelt","y"
149,"EDSM",2018,8/22/2018 0:00:00,"19-04-LSR01","Delta Smelt","y"
150,"EDSM",2018,8/22/2018 0:00:00,"19-04-LSR03","Delta Smelt","y"
151,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
152,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
153,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
154,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
155,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
156,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
157,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
158,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
159,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
160,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
161,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
162,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
163,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
164,"EDSM",2018,9/11/2018 0:00:00,"19-07-LSSC06","Delta Smelt","y"
165,"EDSM",2018,9/11/2018 0:00:00,"19-07-LSSC06","Delta Smelt","y"
166,"EDSM",2018,9/11/2018 0:00:00,"19-07-LSSC06","Delta Smelt","y"
167,"EDSM",2018,9/11/2018 0:00:00,"19-07-LSSC06","Delta Smelt","y"
168,"EDSM",2018,9/20/2018 0:00:00,"19-08-LSSC03","Delta Smelt","y"
169,"EDSM",2018,9/20/2018 0:00:00,"19-08-LSSC03","Delta Smelt","y"
170,"EDSM",2018,9/26/2018 0:00:00,"19-09-LSSC05","Delta Smelt","y"
171,"EDSM",2018,9/26/2018 0:00:00,"19-09-LSSC05","Delta Smelt","y"
172,"EDSM",2018,9/26/2018 0:00:00,"19-09-LSSC05","Delta Smelt","y"
173,"EDSM",2018,9/26/2018 0:00:00,"19-09-LSSC05","Delta Smelt","y"
174,"EDSM",2018,9/26/2018 0:00:00,"19-09-LSSC05","Delta Smelt","y"
175,"EDSM",2018,9/27/2018 0:00:00,"19-09-LSSC02","Delta Smelt","y"
176,"EDSM",2018,9/27/2018 0:00:00,"19-09-LSSC02","Delta Smelt","y"
177,"EDSM",2018,9/27/2018 0:00:00,"19-09-LSSC02","Delta Smelt","y"
178,"EDSM",2018,9/27/2018 0:00:00,"19-09-LSSC02","Delta Smelt","y"
179,"EDSM",2018,9/27/2018 0:00:00,"19-09-LSSC02","Delta Smelt","y"
180,"EDSM",2018,9/27/2018 0:00:00,"19-09-LSSC02","Delta Smelt","y"
181,"EDSM",2018,9/27/2018 0:00:00,"19-09-LSSC02","Delta Smelt","y"
183,"EDSM",2018,10/4/2018 0:00:00,"19-10-LSSC01","Delta Smelt","y"
184,"EDSM",2018,10/4/2018 0:00:00,"19-10-LSSC01","Delta Smelt","y"
185,"EDSM",2018,10/4/2018 0:00:00,"19-10-LSSC01","Delta Smelt","y"
186,"EDSM",2018,10/9/2018 0:00:00,"19-11-LSSC06","Delta Smelt","y"
187,"EDSM",2018,10/9/2018 0:00:00,"19-11-LSSC03","Delta Smelt","y"
188,"EDSM",2018,10/9/2018 0:00:00,"19-11-LSSC03","Delta Smelt","y"
189,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC03","Delta Smelt","y"
190,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
191,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
192,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
193,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
194,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
195,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
196,"EDSM",2018,11/7/2018 0:00:00,"19-15-SM01","Delta Smelt","y"
197,"EDSM",2018,11/8/2018 0:00:00,"19-15-SM04","Delta Smelt","y"
198,"EDSM",2018,11/26/2018 0:00:00,"19-18-SM02","Delta Smelt","y"
199,"EDSM",2018,10/9/2018 0:00:00,"19-11-LSR01","Delta Smelt","y"
200,"EDSM",2018,10/9/2018 0:00:00,"19-11-LSR01","Delta Smelt","y"
201,"EDSM",2018,10/9/2018 0:00:00,"19-11-LSR01","Delta Smelt","y"
202,"EDSM",2018,10/9/2018 0:00:00,"19-11-LSR01","Delta Smelt","y"
203,"EDSM",2018,10/29/2018 0:00:00,"19-14-LSR03","Delta Smelt","y"
204,"EDSM",2018,10/30/2018 0:00:00,"19-14-LSR02","Delta Smelt","y"
205,"EDSM",2018,11/29/2018 0:00:00,"19-18-LSR03","Delta Smelt","y"
206,"EDSM",2018,11/29/2018 0:00:00,"19-18-LSR03","Delta Smelt","y"
207,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
208,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
209,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
210,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
211,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
212,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
213,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
214,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
215,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
216,"EDSM",2018,10/17/2018 0:00:00,"19-12-LSSC04","Delta Smelt","y"
217,"EDSM",2018,10/31/2018 0:00:00,"19-14-LSSC03","Delta Smelt","y"
218,"EDSM",2018,10/31/2018 0:00:00,"19-14-USSC01","Delta Smelt","y"
219,"EDSM",2018,11/1/2018 0:00:00,"19-14-LSSC06","Delta Smelt","y"
220,"EDSM",2018,11/1/2018 0:00:00,"19-14-LSSC06","Delta Smelt","y"
221,"EDSM",2018,11/1/2018 0:00:00,"19-14-LSSC06","Delta Smelt","y"
222,"EDSM",2018,11/1/2018 0:00:00,"19-14-LSSC06","Delta Smelt","y"
223,"EDSM",2018,11/7/2018 0:00:00,"19-15-LSSC01","Delta Smelt","y"
224,"EDSM",2018,11/7/2018 0:00:00,"19-15-LSSC01","Delta Smelt","y"
225,"EDSM",2018,11/21/2018 0:00:00,"19-17-LSSC02","Delta Smelt","y"
226,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
227,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
228,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
229,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
230,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","Y"
231,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
232,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
233,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
234,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
235,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
236,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
237,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
238,"EDSM",2018,9/17/2018 0:00:00,"19-08-LSR02","Delta Smelt","y"
239,"EDSM",2018,9/24/2018 0:00:00,"19-09-LSR02","Delta Smelt","y"
240,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
241,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
242,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
243,"EDSM",2018,9/10/2018 0:00:00,"19-07-LSSC02","Delta Smelt","y"
245,"EDSM",2019,8/21/2019 0:00:00,"20-04-HB01","Delta Smelt","Y"
247,"EDSM",2019,8/19/2019 0:00:00,"20-04-LSSC02","Delta Smelt","y"
249,"EDSM",2019,8/16/2019 0:00:00,"20-03-LSSC02","Delta Smelt","y"
250,"EDSM",2019,8/16/2019 0:00:00,"20-03-LSSC02","Delta Smelt","Y"
251,"EDSM",2019,8/13/2019 0:00:00,"20-03-HB01","Delta Smelt","y"
252,"EDSM",2019,8/16/2019 0:00:00,"20-03-SM06","Delta Smelt","y"
253,"EDSM",2019,7/25/2019 0:00:00,"19-52-LSSC02","Delta Smelt","Y"
254,"EDSM",2019,8/16/2019 0:00:00,"20-03-LSSC02","Delta Smelt","Y"
255,"EDSM",2019,8/16/2019 0:00:00,"20-03-LSSC02","Delta Smelt","Y"
256,"EDSM",2019,8/6/2019 0:00:00,"20-02-SM03","Delta Smelt","y"
257,"EDSM",2019,8/8/2019 0:00:00,"20-02-LSSC02","Delta Smelt","y"
258,"EDSM",2019,7/30/2019 0:00:00,"19-53-LSSC04","Delta Smelt","y"
259,"EDSM",2019,7/30/2019 0:00:00,"19-53-SBM03","Delta Smelt","y"
260,"EDSM",2019,7/29/2019 0:00:00,"19-53-LSSC02","Delta Smelt","Y"
261,"EDSM",2019,7/5/2019 0:00:00,"19-49-SBM02","Delta Smelt","Y"
262,"EDSM",2019,7/15/2019 0:00:00,"19-51-HB01","Delta Smelt","y"
263,"EDSM",2019,7/15/2019 0:00:00,"19-51-SBM01","Delta Smelt","y"
264,"EDSM",2019,7/17/2019 0:00:00,"19-51-LSR02","Delta Smelt","y"
265,"EDSM",2019,7/17/2019 0:00:00,"19-51-LSR02","Delta Smelt","y"
266,"EDSM",2019,7/17/2019 0:00:00,"19-51-LSR03","Delta Smelt","y"
267,"EDSM",2019,7/24/2019 0:00:00,"19-52-LSR01","Delta Smelt","y"
268,"EDSM",2019,7/3/2019 0:00:00,"19-49-SM01","Delta Smelt","y"
270,"EDSM",2019,7/9/2019 0:00:00,"19-50-SM03","Delta Smelt","y"
271,"EDSM",2019,7/10/2019 0:00:00,"19-50-SBM01","Delta Smelt","Y"
274,"EDSM",2019,7/30/2019 0:00:00,"19-53-SBM03","Delta Smelt","y"
275,"EDSM",2019,7/31/2019 0:00:00,"19-53-GB01","Delta Smelt","y"
276,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC03","Delta Smelt","y"
277,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC03","Delta Smelt","y"
278,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
281,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
282,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
286,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
287,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
288,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
289,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
291,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","Y"
292,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
295,"EDSM",2019,7/3/2019 0:00:00,"19-49-LSSC01","Delta Smelt","y"
