project,station,latitude,longitude,region
EDSM,18-52-LSSC05,38.41948509,-121.6084747,Sacramento Deep Water Ship Channel
EDSM,19-01-LSSC01,38.46915627,-121.5857697,Sacramento Deep Water Ship Channel
EDSM,19-01-USSC03,38.48760605,-121.5844536,Sacramento Deep Water Ship Channel
EDSM,19-02-LSSC02,38.38444265,-121.6250788,Sacramento Deep Water Ship Channel
EDSM,19-03-LSR01,38.0676403,-121.8215904,Lower Sacramento
EDSM,19-03-LSSC01,38.37018585,-121.6310501,Sacramento Deep Water Ship Channel
EDSM,19-03-SM03,38.17255497,-122.0604019,Suisun Marsh
EDSM,19-03-SM05,38.16640854,-122.0428238,Suisun Marsh
EDSM,19-04-GB01,38.10926437,-122.057579,Suisun Marsh
EDSM,19-04-LSR01,38.06636429,-121.8190994,Lower Sacramento
EDSM,19-04-LSR03,38.06355667,-121.8167496,Lower Sacramento
EDSM,19-04-LSSC03,38.39949036,-121.6181297,Sacramento Deep Water Ship Channel
EDSM,19-04-LSSC05,38.34852982,-121.6415901,Sacramento Deep Water Ship Channel
EDSM,19-04-SM01,38.1802845,-121.9997902,Suisun Marsh
EDSM,19-05-LSSC05,38.3326149,-121.6471252,Sacramento Deep Water Ship Channel
EDSM,19-06-GB01,38.09992027,-122.0656471,Suisun Marsh
EDSM,19-06-SM04,38.1848704,-122.0554835,Suisun Marsh
EDSM,19-07-LSSC02,38.35631943,-121.6380539,Sacramento Deep Water Ship Channel
EDSM,19-07-LSSC06,38.374101,-121.6290512,Sacramento Deep Water Ship Channel
EDSM,19-08-LSR02,38.06910896,-121.831665,Lower Sacramento
EDSM,19-08-LSSC03,38.34667492,-121.6424599,Sacramento Deep Water Ship Channel
EDSM,19-09-LSR02,38.07033412,-121.8371862,Lower Sacramento
EDSM,19-09-LSSC02,38.39395523,-121.6206055,Sacramento Deep Water Ship Channel
EDSM,19-09-LSSC05,38.36618042,-121.6335182,Sacramento Deep Water Ship Channel
EDSM,19-10-LSSC01,38.39021492,-121.6225395,Sacramento Deep Water Ship Channel
EDSM,19-11-LSR01,38.05891991,-121.8089561,Lower Sacramento
EDSM,19-11-LSSC03,38.40896988,-121.6134822,Sacramento Deep Water Ship Channel
EDSM,19-11-LSSC06,38.42774709,-121.6046702,Sacramento Deep Water Ship Channel
EDSM,19-12-LSSC03,38.45693016,-121.5909119,Sacramento Deep Water Ship Channel
EDSM,19-12-LSSC04,38.3857193,-121.6245193,Sacramento Deep Water Ship Channel
EDSM,19-14-LSR02,38.08883286,-121.7437496,Lower Sacramento
EDSM,19-14-LSR03,38.06559753,-121.8161926,Lower Sacramento
EDSM,19-14-LSSC03,38.4692955,-121.5856743,Sacramento Deep Water Ship Channel
EDSM,19-14-LSSC06,38.41587448,-121.6106377,Sacramento Deep Water Ship Channel
EDSM,19-14-USSC01,38.48437786,-121.584795,Sacramento Deep Water Ship Channel
EDSM,19-15-LSSC01,38.440485,-121.5990448,Sacramento Deep Water Ship Channel
EDSM,19-15-SM01,38.17633057,-122.0116539,Suisun Marsh
EDSM,19-15-SM04,38.19341087,-122.039856,Suisun Marsh
EDSM,19-17-LSSC02,38.45010757,-121.5945206,Sacramento Deep Water Ship Channel
EDSM,19-18-LSR03,38.06282997,-121.8067093,Lower Sacramento
EDSM,19-18-SM02,38.20978038,-122.0341568,Suisun Marsh
EDSM,19-49-LSSC01,38.35747528,-121.6371002,Sacramento Deep Water Ship Channel
EDSM,19-49-LSSC02,38.33049965,-121.6484985,Sacramento Deep Water Ship Channel
EDSM,19-49-LSSC03,38.46504021,-121.587719,Sacramento Deep Water Ship Channel
EDSM,19-49-SBM02,38.07292175,-121.9731293,Suisun Bay
EDSM,19-49-SM01,38.12416553,-121.899332,Suisun Marsh
EDSM,19-49-SM02,38.18193531,-121.9234467,Suisun Marsh
EDSM,19-50-CS05,38.24732399,-121.6760597,Cache Slough/Liberty Island
EDSM,19-50-LSSC02,38.37425041,-121.6297417,Sacramento Deep Water Ship Channel
EDSM,19-50-LSSC03,38.31340408,-121.6519051,Sacramento Deep Water Ship Channel
EDSM,19-50-LSSC05,38.36758041,-121.632618,Sacramento Deep Water Ship Channel
EDSM,19-50-SBM01,38.0982399,-122.0256958,Suisun Bay
EDSM,19-50-SM03,38.16138458,-122.0472031,Suisun Marsh
EDSM,19-51-HB01,38.04966545,-121.9563942,Suisun Bay
EDSM,19-51-LSR02,38.06282616,-121.8075981,Lower Sacramento
EDSM,19-51-LSR03,38.07521439,-121.7707996,Lower Sacramento
EDSM,19-51-LSSC02,38.46887493,-121.5855713,Sacramento Deep Water Ship Channel
EDSM,19-51-SBM01,38.09356117,-122.0550842,Suisun Bay
EDSM,19-51-SBW02,38.06108093,-122.1123009,Suisun Bay
EDSM,19-52-LSR01,38.07022095,-121.838623,Lower Sacramento
EDSM,19-52-LSSC02,38.45663071,-121.5911522,Sacramento Deep Water Ship Channel
EDSM,19-52-LSSC03,38.38259506,-121.625946,Sacramento Deep Water Ship Channel
EDSM,19-53-GB01,38.10904121,-122.057415,Suisun Marsh
EDSM,19-53-LSSC01,38.28846455,-121.6582584,Sacramento Deep Water Ship Channel
EDSM,19-53-LSSC02,38.41574478,-121.6103439,Sacramento Deep Water Ship Channel
EDSM,19-53-LSSC04,38.25276438,-121.6678365,Sacramento Deep Water Ship Channel
EDSM,19-53-LSSC05,38.43844032,-121.5993652,Sacramento Deep Water Ship Channel
EDSM,19-53-SBM03,38.09184074,-122.0093765,Suisun Bay
EDSM,19-53-SBW01,38.06317139,-122.1126213,Suisun Bay
EDSM,20-02-LSSC02,38.333697,-121.6472575,Sacramento Deep Water Ship Channel
EDSM,20-02-SM03,38.13681412,-122.0574951,Suisun Marsh
EDSM,20-03-HB01,38.05750465,-121.9510918,Suisun Bay
EDSM,20-03-LSSC02,38.41235542,-121.612011,Sacramento Deep Water Ship Channel
EDSM,20-03-SM06,38.13062191,-122.0824528,Suisun Marsh
EDSM,20-04-HB01,38.05106926,-121.9685631,Suisun Bay
EDSM,20-04-LSSC02,38.41152382,-121.6117935,Sacramento Deep Water Ship Channel
EDSM,20-07-LSSC01,38.40842438,-121.6134033,Sacramento Deep Water Ship Channel
EDSM,20-07-LSSC03,38.35187022,-121.6399002,Sacramento Deep Water Ship Channel
EDSM,20-07-SBM01,38.0701952,-121.974968,Suisun Bay
EDSM,20-08-CF01,38.04991531,-121.8730736,Suisun Bay
EDSM,20-11-LSR03,38.06548055,-121.8182729,Lower Sacramento
EDSM,20-12-LSSC01,38.35396004,-121.6386585,Sacramento Deep Water Ship Channel
EDSM,20-13-CF01,38.04854393,-121.9276047,Suisun Bay
EDSM,20-13-HB01,38.0606823,-121.9544811,Suisun Bay
EDSM,20-14-LSR01,38.06439686,-121.8171368,Lower Sacramento
EDSM,20-14-LSSC05,38.43188,-121.6026287,Sacramento Deep Water Ship Channel
EDSM,20-37-USSC04,38.53296471,-121.584198,Sacramento Deep Water Ship Channel
EDSM,20-38-USSC02,38.5525341,-121.5783501,Sacramento Deep Water Ship Channel
EDSM,20-39-LSSC05,38.37553406,-121.6282349,Sacramento Deep Water Ship Channel
EDSM,20-39-USSC01,38.48309326,-121.5838051,Sacramento Deep Water Ship Channel
EDSM,20-42-LSSC01,38.41597366,-121.6096306,Sacramento Deep Water Ship Channel
EDSM,20-42-LSSC04,38.4332943,-121.6014481,Sacramento Deep Water Ship Channel
EDSM,20-43-LSSC02,38.31960487,-121.6496925,Sacramento Deep Water Ship Channel
EDSM,20-43-LSSC05,38.35832024,-121.6360397,Sacramento Deep Water Ship Channel
EDSM,20-43-LSSC06,38.33537483,-121.6462936,Sacramento Deep Water Ship Channel
EDSM,20-43-LSSC08,38.40732574,-121.6135597,Sacramento Deep Water Ship Channel
EDSM,20-45-LSSC03,38.36094475,-121.6352234,Sacramento Deep Water Ship Channel
EDSM,20-45-SM07,38.14206123,-122.0608482,Suisun Marsh
EDSM,20-49-CF01,38.07079506,-121.8414574,Suisun Bay
EDSM,20-49-LSSC05,38.33516884,-121.646492,Sacramento Deep Water Ship Channel
EDSM,20-50-LSR01,38.08665276,-121.7489548,Lower Sacramento
EDSM,20-50-LSSC01,38.28792572,-121.6580486,Sacramento Deep Water Ship Channel
EDSM,20-50-LSSC02,38.36380005,-121.6342087,Sacramento Deep Water Ship Channel
EDSM,20-50-LSSC05,38.35089493,-121.6401024,Sacramento Deep Water Ship Channel
EDSM,20-50-RV02,38.10468578,-121.7200565,Lower Sacramento
EDSM,20-51-LSSC02,38.42395528,-121.6061274,Sacramento Deep Water Ship Channel
EDSM,20-52-GB01,38.10652161,-122.0499077,Suisun Marsh
EDSM,21-02-LSR03,38.06714725,-121.7838612,Lower Sacramento
EDSM,21-02-LSSC05,38.31817436,-121.6509609,Sacramento Deep Water Ship Channel
EDSM,21-03-GB01,38.10828018,-122.0447769,Suisun Marsh
EDSM,21-03-LSSC01,38.39402962,-121.6205254,Sacramento Deep Water Ship Channel
EDSM,21-03-LSSC05,38.30732536,-121.653862,Sacramento Deep Water Ship Channel
EDSM,21-09-SM03,38.16827869,-122.0406284,Suisun Marsh
ELS,19-36-DI04,38.08797,-121.74692,Decker Island
ELS,19-39-SC01,38.46626,-121.58729,Sacramento Deep Water Ship Channel
ELS,19-39-SC02,38.36226,-121.63511,Sacramento Deep Water Ship Channel
ELS,19-39-SC03,38.44311,-121.59732,Sacramento Deep Water Ship Channel
ELS,19-39-SC05,38.45967,-121.59071,Sacramento Deep Water Ship Channel
ELS,19-39-SL05,38.03368,-121.83931,Sherman Lake
ELS,19-41-SC02,38.31484,-121.65142,Sacramento Deep Water Ship Channel
ELS,19-41-SC03,38.44353,-121.59732,Sacramento Deep Water Ship Channel
ELS,19-41-SC04,38.3798,-121.6269,Sacramento Deep Water Ship Channel
ELS,19-41-SC06,38.37534,-121.628,Sacramento Deep Water Ship Channel
ELS,19-42-DI03,38.08832,-121.74927,Decker Island
ELS,19-42-GBSM01,38.18639,-121.98084,Grizzly Bay/Suisun Marsh
ELS,19-43-SC01,38.46355,-121.58877,Sacramento Deep Water Ship Channel
ELS,19-43-SC02,38.39513,-121.61953,Sacramento Deep Water Ship Channel
ELS,19-43-SC03,38.39513,-121.61953,Sacramento Deep Water Ship Channel
ELS,19-43-SC04,38.30085,-121.65495,Sacramento Deep Water Ship Channel
ELS,19-43-SC05,38.36527,-121.63342,Sacramento Deep Water Ship Channel
ELS,19-44-GBSM25,38.12595,-122.00412,Grizzly Bay/Suisun Marsh
ELS,19-44-GBSM42,38.13812,-122.03456,Grizzly Bay/Suisun Marsh
ELS,19-45-LSSC05,38.32172012,-121.6508064,Sacramento Deep Water Ship Channel
FMWT,72,38.18775,-121.58057,Sacramento
FMWT,73,38.27433,-121.53937,Sacramento
FMWT,305,37.9987,-122.4086,San Pablo Bay
FMWT,306,38.00042,-122.41488,San Pablo Bay
FMWT,307,38.00472,-122.4192,San Pablo Bay
FMWT,308,38.01745,-122.40438,San Pablo Bay
FMWT,309,38.01442,-122.39387,San Pablo Bay
FMWT,310,38.0297,-122.37355,San Pablo Bay
FMWT,311,38.02087,-122.37743,San Pablo Bay
FMWT,314,38.02812,-122.41167,San Pablo Bay
FMWT,315,38.03815,-122.3936,San Pablo Bay
FMWT,321,38.03612,-122.36103,San Pablo Bay
FMWT,322,38.02363,-122.35078,San Pablo Bay
FMWT,323,38.02853,-122.32817,San Pablo Bay
FMWT,325,38.05605,-122.2955,San Pablo Bay
FMWT,326,38.04038,-122.29592,San Pablo Bay
FMWT,327,38.04772,-122.36672,San Pablo Bay
FMWT,328,38.06005,-122.34842,San Pablo Bay
FMWT,329,38.06312,-122.30588,San Pablo Bay
FMWT,334,38.07553,-122.33933,San Pablo Bay
FMWT,335,38.0705,-122.3243,San Pablo Bay
FMWT,336,38.06275,-122.27875,San Pablo Bay
FMWT,337,38.0595,-122.27232,San Pablo Bay
FMWT,338,38.06003,-122.24892,San Pablo Bay
FMWT,339,38.0667,-122.2568,San Pablo Bay
FMWT,340,38.10508,-122.26988,Napa River
FMWT,341,38.12828,-122.2802,Napa River
FMWT,401,38.05758,-122.21245,Carquinez Strait
FMWT,403,38.04883,-122.17192,Carquinez Strait
FMWT,404,38.04645,-122.17887,Carquinez Strait
FMWT,405,38.03353,-122.15815,Carquinez Strait
FMWT,406,38.028,-122.15057,Carquinez Strait
FMWT,407,38.03298,-122.14515,Carquinez Strait
FMWT,408,38.03513,-122.12897,Carquinez Strait
FMWT,409,38.04455,-122.10637,Suisun Bay
FMWT,410,38.04883,-122.09647,Suisun Bay
FMWT,411,38.06117,-122.06828,Suisun Bay
FMWT,412,38.06462,-122.06007,Suisun Bay
FMWT,413,38.06595,-122.0473,Suisun Bay
FMWT,414,38.05213,-122.11128,Suisun Bay
FMWT,415,38.05678,-122.10772,Suisun Bay
FMWT,416,38.0702,-122.09415,Suisun Bay
FMWT,417,38.08075,-122.083,Suisun Bay
FMWT,418,38.09383,-122.06973,Suisun Bay
FMWT,501,38.06167,-122.01955,Suisun Bay
FMWT,502,38.05997,-122.00397,Suisun Bay
FMWT,503,38.06022,-121.9832,Suisun Bay
FMWT,504,38.05945,-121.9767,Suisun Bay
FMWT,505,38.05713,-121.95597,Suisun Bay
FMWT,507,38.05228,-121.939,Suisun Bay
FMWT,508,38.04813,-121.91492,Confluence
FMWT,509,38.04547,-121.90412,Confluence
FMWT,510,38.04888,-121.88783,Confluence
FMWT,511,38.0513,-121.88,Confluence
FMWT,512,38.05638,-121.87722,Confluence
FMWT,513,38.0592,-121.86842,Confluence
FMWT,515,38.092,-122.01472,Suisun Bay
FMWT,516,38.07867,-121.99408,Suisun Bay
FMWT,517,38.07022,-121.97938,Suisun Bay
FMWT,518,38.06875,-121.96802,Suisun Bay
FMWT,519,38.07378,-121.94725,Suisun Bay
FMWT,601,38.1031,-122.0356,Suisun Bay
FMWT,602,38.11783,-122.04183,Suisun Bay
FMWT,603,38.11552,-122.04805,Suisun Bay
FMWT,604,38.12163,-122.05717,Suisun Bay
FMWT,605,38.14853,-122.05738,Suisun Marsh
FMWT,606,38.1698,-122.02177,Suisun Marsh
FMWT,608,38.0887,-121.88332,Suisun Marsh
FMWT,701,38.06505,-121.83475,Lower Sacramento River
FMWT,703,38.06087,-121.79692,Lower Sacramento River
FMWT,704,38.07087,-121.77892,Lower Sacramento River
FMWT,705,38.07925,-121.7618,Lower Sacramento River
FMWT,706,38.0903,-121.74,Lower Sacramento River
FMWT,707,38.11397,-121.70797,Confluence
FMWT,708,38.12608,-121.6967,Confluence
FMWT,709,38.14787,-121.69048,Confluence
FMWT,710,38.162,-121.68228,Confluence
FMWT,711,38.17595,-121.67028,Sacramento River
FMWT,712,38.19042,-121.64095,Sacramento River
FMWT,713,38.20712,-121.66008,Cache Slough
FMWT,715,38.22295,-121.67362,Cache Slough
FMWT,716,38.23787,-121.68438,Cache Slough
FMWT,717,38.17017,-121.63138,Cache Slough
FMWT,719,38.33428,-121.64733,Sacramento Deep Water Ship Channel
FMWT,721,38.26815,-121.70277,Cache Slough
FMWT,723,38.23615,-121.67348,Cache Slough
FMWT,724,38.23578,-121.55878,Cache Slough
FMWT,735,38.33343,-121.56968,Sacramento River
FMWT,736,38.36737,-121.5214,Sacramento River
FMWT,795,38.5377,-121.58468,Sacramento Deep Water Ship Channel
FMWT,796,38.47387,-121.5844,Sacramento Deep Water Ship Channel
FMWT,797,38.40462,-121.6156,Sacramento Deep Water Ship Channel
FMWT,802,38.03528,-121.83875,Confluence
FMWT,804,38.02308,-121.79868,Confluence
FMWT,806,38.02872,-121.7617,Confluence
FMWT,807,38.02995,-121.73203,Confluence
FMWT,808,38.03337,-121.71942,San Juaquin
FMWT,809,38.0512,-121.69305,San Juaquin
FMWT,810,38.07083,-121.67622,San Juaquin
FMWT,811,38.09742,-121.66487,San Juaquin
FMWT,812,38.08792,-121.64883,San Juaquin
FMWT,813,38.09978,-121.62767,San Juaquin
FMWT,814,38.10128,-121.6022,San Juaquin
FMWT,815,38.0913,-121.57587,San Juaquin
FMWT,902,38.0205,-121.58255,South Delta
FMWT,903,38.10628,-121.56747,South Delta
FMWT,904,38.07828,-121.56847,South Delta
FMWT,905,38.05953,-121.55573,South Delta
FMWT,906,38.05412,-121.51653,South Delta
FMWT,908,38.04308,-121.5298,South Delta
FMWT,909,38.02442,-121.46705,South Delta
FMWT,910,38.00228,-121.45037,South Delta
FMWT,911,37.99247,-121.40875,South Delta
FMWT,912,37.96883,-121.37172,South Delta
FMWT,913,37.97012,-121.53705,South Delta
FMWT,914,37.94662,-121.53475,South Delta
FMWT,915,37.949,-121.55908,South Delta
FMWT,919,38.10572,-121.49525,East Delta
FMWT,920,38.14138,-121.50475,East Delta
FMWT,921,38.16513,-121.49303,East Delta
FMWT,922,38.20438,-121.4789,East Delta
FMWT,923,38.13445,-121.56625,East Delta
SKT,340,38.09928,-122.26344,Napa River
SKT,405,38.03969,-122.1505,Carquinez Strait
SKT,411,38.05131,-122.08331,Suisun Bay
SKT,418,38.06481,-122.09781,Suisun Bay
SKT,501,38.07338,-122.02246,Suisun Bay
SKT,504,38.06106,-122.01372,Suisun Bay
SKT,508,38.0455,-121.91881,Confluence
SKT,513,38.05831,-121.868,Confluence
SKT,519,38.07231,-121.95969,Suisun Bay
SKT,520,38.03281,-121.86931,Confluence
SKT,602,38.114,-122.04619,Suisun Bay
SKT,606,38.16947,-122.02567,Suisun Marsh
SKT,609,38.16719,-121.938,Suisun Marsh
SKT,610,38.11881,-121.88919,Suisun Marsh
SKT,701,38.065639,-121.834694,Lower Sacramento River
SKT,703,38.063139,-121.796083,Lower Sacramento River
SKT,704,38.06917,-121.77528,Lower Sacramento River
SKT,705,38.079611,-121.761472,Lower Sacramento River
SKT,706,38.08519,-121.75069,Lower Sacramento River
SKT,707,38.1135,-121.7075,Confluence
SKT,711,38.17881,-121.66531,Sacramento River
SKT,712,38.19042,-121.64095,Sacramento River
SKT,713,38.20712,-121.66008,Cache Slough
SKT,715,38.22295,-121.67362,Cache Slough
SKT,716,38.25828,-121.69164,Cache Slough
SKT,719,38.33428,-121.64733,Sacramento Deep Water Ship Channel
SKT,724,38.23578,-121.55878,Cache Slough
SKT,801,38.04369,-121.844,Confluence
SKT,804,38.01819,-121.797,Confluence
SKT,809,38.0525,-121.68919,San Juaquin
SKT,812,38.09031,-121.6405,San Juaquin
SKT,815,38.08,-121.56981,San Juaquin
SKT,902,38.01919,-121.58219,South Delta
SKT,906,38.05169,-121.509,South Delta
SKT,910,38.00181,-121.44869,South Delta
SKT,912,37.966,-121.36731,South Delta
SKT,914,37.9715,-121.52,South Delta
SKT,915,37.9425,-121.5635,South Delta
SKT,919,38.10481,-121.492,East Delta
SKT,920,38.14138,-121.50475,East Delta
SKT,921,38.16513,-121.49303,East Delta
SKT,922,38.20438,-121.4789,East Delta
SKT,923,38.13445,-121.56625,East Delta
STN,323,38.04831,-122.28281,San Pablo Bay
STN,340,38.10391,-122.26945,Napa River
STN,405,38.03806,-122.1505,Carquinez Strait
STN,411,38.05131,-122.08331,Suisun Bay
STN,418,38.06481,-122.09781,Suisun Bay
STN,501,38.07338,-122.02246,Suisun Bay
STN,504,38.06106,-122.01372,Suisun Bay
STN,508,38.04556,-121.923,Confluence
STN,513,38.05946,-121.864,Confluence
STN,519,38.07231,-121.95969,Suisun Bay
STN,520,38.03281,-121.86931,Confluence
STN,602,38.114,-122.04619,Suisun Bay
STN,606,38.16776,-122.02201,Suisun Marsh
STN,609,38.16719,-121.938,Suisun Marsh
STN,610,38.11881,-121.88919,Suisun Marsh
STN,704,38.06776,-121.77501,Lower Sacramento River
STN,706,38.09006,-121.739,Lower Sacramento River
STN,707,38.11226,-121.70601,Confluence
STN,711,38.17336,-121.669,Sacramento River
STN,713,38.20712,-121.66008,Cache Slough
STN,716,38.23787,-121.68438,Cache Slough
STN,719,38.33428,-121.64733,Sacramento Deep Water Ship Channel
STN,721,38.26815,-121.70277,Cache Slough
STN,723,38.23615,-121.67348,Cache Slough
STN,795,38.5377,-121.58468,Sacramento Deep Water Ship Channel
STN,796,38.47387,-121.5844,Sacramento Deep Water Ship Channel
STN,797,38.40462,-121.6156,Sacramento Deep Water Ship Channel
STN,801,38.05561,-121.847,Confluence
STN,804,38.02056,-121.794,Confluence
STN,809,38.05396,-121.686,San Juaquin
STN,812,38.08866,-121.64051,San Juaquin
STN,815,38.08,-121.56981,San Juaquin
STN,902,38.02616,-121.58301,South Delta
STN,906,38.05396,-121.51101,South Delta
STN,910,37.99836,-121.444,South Delta
STN,912,37.96226,-121.364,South Delta
STN,914,37.9715,-121.52,South Delta
STN,915,37.94056,-121.559,South Delta
STN,918,37.85931,-121.56881,South Delta
STN,919,38.10481,-121.492,East Delta
